0	1114	1160	1074	986	1260	1430	1363	1518	1616	1512	1642	1896	1916	2002	2134	2002	1817	1896	1906	1789	1940	2126	2041	1897	1996	2006	1879	2017	2249
1	151	166	201	234	253	240	230	234	241	243	241	241	245	245	237	222	200	186	208	202	180	238	177	246	196	248	214	267	229
4	57	19	58	57	53	119	57	143	127	139	163	149	149	130	172	114	137	130	129	125	143	136	115	144	133	132	129	142	117
5	51	37	85	109	230	202	137	157	199	167	156	175	175	171	172	174	173	172	171	169	166	162	158	155	153	154	156	157	160
6	21	29	31	28	31	40	46	47	50	57	64	67	70	78	84	87	91	100	105	107	114	119	118	122	128	125	126	135	133
10	11	20	42	26	30	21	23	40	51	27	23	36	37	40	44	35	31	40	45	42	44	50	49	42	47	60	61	52	55
11	42	34	39	50	48	63	70	90	97	75	62	62	69	77	76	79	75	67	66	75	77	70	68	73	72	66	69	75	71
13	23	43	35	32	47	64	52	60	79	64	58	68	73	51	55	75	59	44	66	79	45	54	84	66	43	72	84	49	58
15	46	39	63	60	86	91	70	83	75	70	63	52	49	43	42	32	37	21	46	9	62	22	41	14	50	26	22	40	24
18	18	13	18	19	24	24	29	32	37	40	45	49	55	62	74	79	74	74	68	65	69	63	65	68	66	69	74	75	79
19	0	9	20	7	0	8	22	17	6	13	27	32	28	31	47	55	60	55	44	41	44	53	68	68	56	42	41	54	79
21	22	2	44	41	21	14	22	47	24	22	11	40	34	20	23	25	33	26	23	27	28	30	28	28	31	32	33	34	34
22	63	48	35	33	46	54	28	48	68	56	28	36	83	51	19	41	93	47	14	46	95	38	20	51	91	33	24	51	82
24	25	27	36	45	55	52	37	44	53	44	37	49	44	40	46	44	44	48	47	49	53	53	56	59	58	60	62	60	62
25	15	7	12	6	20	9	23	6	27	4	37	0	43	0	51	0	56	4	59	8	61	14	60	20	59	27	59	33	58
38	38	31	28	29	28	30	32	32	33	32	29	29	29	31	33	31	31	28	27	28	30	32	31	27	25	25	28	32	33
39	25	41	27	24	39	62	46	22	36	41	28	48	58	36	26	38	47	34	44	52	32	31	43	45	38	41	45	34	35
43	25	6	0	42	67	18	0	3	46	63	7	0	10	46	52	0	0	14	41	45	0	0	10	37	46	2	0	3	37
45	6	22	22	20	2	5	9	22	17	12	3	12	13	19	12	12	9	16	14	17	13	16	14	18	17	19	17	20	19
47	37	6	18	29	4	47	5	16	29	16	32	15	21	19	27	18	25	21	27	21	28	24	28	26	30	29	30	30	30
50	11	9	10	15	17	11	4	7	22	21	5	2	16	30	8	4	14	31	9	6	19	30	8	10	25	25	8	16	26
52	15	20	21	27	25	30	23	30	26	33	22	31	31	35	21	29	45	40	30	27	47	50	41	28	38	51	50	39	29
57	33	10	19	9	19	49	19	15	14	15	27	28	13	13	16	29	23	1	11	16	28	12	0	10	18	17	11	2	12
73	7	6	7	9	9	10	11	12	13	14	16	17	20	23	27	32	36	33	28	27	33	34	33	37	36	32	37	38	35
75	15	13	30	42	47	43	34	30	35	38	33	25	31	33	32	21	30	27	33	18	28	19	36	13	27	10	36	11	28
76	13	20	8	10	18	5	4	14	8	2	7	10	7	2	6	9	6	2	7	8	4	6	9	6	6	9	7	8	10
77	20	12	13	25	26	18	12	11	19	20	19	14	8	9	12	18	18	15	7	4	8	15	20	18	10	3	5	13	19
82	27	13	26	14	25	19	36	0	10	11	12	14	21	36	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0
